,L1,L2
2019-09-05,2.1667879777505575e-05,0.00017538659818916978
2019-09-06,2.4614709053442756e-05,0.00018396739557274163
2019-09-07,2.4614709053442756e-05,0.00018396739557274163
2019-09-08,2.768184747326853e-05,0.0001945619039407576
2019-09-09,3.753793367057643e-05,0.0002459033567836205
2019-09-10,3.563811329979766e-05,0.0002423277304907477
2019-09-11,4.38271397933546e-05,0.0002703754156443265
2019-09-12,4.380714612146636e-05,0.000270371930239843
2019-09-13,4.3910223082897076e-05,0.0002717184130074865
2019-09-14,8.104582552243694e-05,0.0004740231686689534
2019-09-15,6.933338859320057e-05,0.0003781944180981052
2019-09-16,6.933338859320057e-05,0.0003781944180981052
2019-09-17,6.933338859320057e-05,0.0003781944180981052
2019-09-18,5.097151077043324e-05,0.0002916458708834172
2019-09-19,5.071944700509989e-05,0.00029146248296806185
2019-09-20,5.259928457877587e-05,0.00029476370544173896
2019-09-21,5.3484994027637456e-05,0.0002984022154878825
2019-09-22,4.301442653757877e-05,0.0002573998226969213
2019-09-23,3.964666916010835e-05,0.0002492678342462222
2019-09-24,3.935214791260175e-05,0.00024674835495235454
2019-09-25,3.22013201138633e-05,0.00020742012438643818
2019-09-26,3.392579286969066e-05,0.00021427678321377571
2019-09-27,2.9996293848453398e-05,0.0002053881118988057
2019-09-28,6.547156834433437e-05,0.0004200421317303671
2019-09-29,6.547156834433437e-05,0.0004200421317303671
2019-09-30,3.6025013390649126e-05,0.00022950762097676951
2019-10-01,5.4571277777259314e-05,0.00033350261158955255
2019-10-02,4.9908778651920485e-05,0.0003223740455742371
2019-10-03,4.9508056129086596e-05,0.00031909562428009976
2019-10-04,4.109607155004086e-05,0.00029721514192611483
2019-10-05,4.128848876241357e-05,0.0002973097884238389
2019-10-06,4.146686839554838e-05,0.00029739424349994805
2019-10-07,3.8613407683866325e-05,0.0002847109589115219
2019-10-08,4.1197168951571895e-05,0.0002871555770228806
2019-10-09,4.1197168951571895e-05,0.0002871555770228806
2019-10-10,4.1197168951571895e-05,0.0002871555770228806
2019-10-11,4.0230409118321075e-05,0.0002829248406813838
2019-10-12,3.6952815766658686e-05,0.00023442386685827113
2019-10-13,3.748353327894384e-05,0.0002349746808857784
2019-10-14,3.703579636327994e-05,0.00023465121124869242
2019-10-15,3.8675067553512e-05,0.0002487899742973034
2019-10-16,3.486326443852988e-05,0.00023487420924851355
2019-10-17,2.5176383173452404e-05,0.00018444894962246956
2019-10-18,1.9223974572396595e-05,0.00014841199957954943
2019-10-19,1.785728581034222e-05,0.0001448844230009336
2019-10-20,1.785728581034222e-05,0.0001448844230009336
2019-10-21,1.9263431803243167e-05,0.00015267412684990303
2019-10-22,1.780650557801867e-05,0.00014830748354784193
2019-10-23,1.7884760390690212e-05,0.00014837899660986292
2019-10-24,1.7884760390690212e-05,0.00014837899660986292
2019-10-25,1.7473653115936388e-05,0.00014778565026934146
2019-10-26,1.7473653115936388e-05,0.00014778565026934146
2019-10-27,1.7473653115936388e-05,0.00014778565026934146
2019-10-28,2.4687295118647635e-05,0.00023121629745062285
2019-10-29,2.4570747733432697e-05,0.00023112759064703922
2019-10-30,2.1759334542988682e-05,0.00022388492277486229
2019-10-31,2.1759334542988682e-05,0.00022388492277486229
2019-11-01,2.1759334542988682e-05,0.00022388492277486229
2019-11-02,2.094859640388376e-05,0.00022120026395655936
2019-11-03,2.2442263115584346e-05,0.00022461499809462595
2019-11-04,2.2059474536776898e-05,0.00022384646584829032
2019-11-05,2.1360226244765326e-05,0.00022318580545686682
2019-11-06,3.056587813190072e-05,0.0002535847545643495
2019-11-07,2.547061466632401e-05,0.00021655458006570878
2019-11-08,2.4264836001938435e-05,0.00021409470824016968
2019-11-09,2.4441176108539473e-05,0.00021420996929029975
2019-11-10,2.2592056521808382e-05,0.00021031076492887215
2019-11-11,1.9610387935408606e-05,0.00020134365777250268
2019-11-12,1.9198429376028657e-05,0.00020080423358133479
2019-11-13,2.0118252070456264e-05,0.00020257857460616628
2019-11-14,2.090518437796872e-05,0.0002039491270420797
2019-11-15,2.177464179528945e-05,0.0002054396294860455
2019-11-16,2.1060070088458737e-05,0.0002034446924095023
2019-11-17,2.0564687792774382e-05,0.0002028726158669643
2019-11-18,2.074445819414501e-05,0.0002031135094854718
2019-11-19,2.0342440567300323e-05,0.00020269475883683105
2019-11-20,2.4257149146614298e-05,0.00022303939898436046
